Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
t-shirt-coton-epais,T-shirt en coton épais,"<p>Un t-shirt à la maille dense qui ne devient pas transparent après trois lavages. Coupe droite, épaules marquées, col côtelé qui garde sa forme.</p><ul><li>Maille épaisse, tenue durable</li><li>Col côtelé renforcé</li><li>Coupe droite, ni cintrée ni oversize</li><li>Coutures latérales pour éviter le vrillage</li></ul><p><strong>Composition :</strong> 100 % coton — à confirmer auprès du fournisseur<br><strong>Entretien :</strong> Lavage à 30 °C, séchage à l'air libre</p><p><em>À compléter avec la fiche technique du fournisseur : mesures exactes, origine de fabrication, certifications.</em></p>",À REMPLACER — nom du fournisseur,Apparel & Accessories > Clothing > Shirts & Tops,T-shirt,"t-shirt, coton, été, basique",FALSE,Taille,XS,Couleur,Blanc,,,T-SHIRT-COTO-XS-BLANC,220,shopify,0,deny,manual,29.90,,TRUE,TRUE,,,,,FALSE,T-shirt en coton épais — coupe droite,"T-shirt en coton à maille dense, coupe droite et col côtelé. Livraison offerte dès 100 €, retours gratuits sous 14 jours.",,,,,new,FALSE,,g,,,draft
t-shirt-coton-epais,,,,,,,,Taille,XS,Couleur,Noir,,,T-SHIRT-COTO-XS-NOIR,220,shopify,0,deny,manual,29.90,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,draft
t-shirt-coton-epais,,,,,,,,Taille,XS,Couleur,Sable,,,T-SHIRT-COTO-XS-SABLE,220,shopify,0,deny,manual,29.90,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,draft
t-shirt-coton-epais,,,,,,,,Taille,XS,Couleur,Bleu ciel,,,T-SHIRT-COTO-XS-BLEUCI,220,shopify,0,deny,manual,29.90,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,draft
t-shirt-coton-epais,,,,,,,,Taille,S,Couleur,Blanc,,,T-SHIRT-COTO-S-BLANC,220,shopify,0,deny,manual,29.90,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,draft
t-shirt-coton-epais,,,,,,,,Taille,S,Couleur,Noir,,,T-SHIRT-COTO-S-NOIR,220,shopify,0,deny,manual,29.90,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,draft
t-shirt-coton-epais,,,,,,,,Taille,S,Couleur,Sable,,,T-SHIRT-COTO-S-SABLE,220,shopify,0,deny,manual,29.90,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,draft
t-shirt-coton-epais,,,,,,,,Taille,S,Couleur,Bleu ciel,,,T-SHIRT-COTO-S-BLEUCI,220,shopify,0,deny,manual,29.90,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,draft
t-shirt-coton-epais,,,,,,,,Taille,M,Couleur,Blanc,,,T-SHIRT-COTO-M-BLANC,220,shopify,0,deny,manual,29.90,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,draft
t-shirt-coton-epais,,,,,,,,Taille,M,Couleur,Noir,,,T-SHIRT-COTO-M-NOIR,220,shopify,0,deny,manual,29.90,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,draft
t-shirt-coton-epais,,,,,,,,Taille,M,Couleur,Sable,,,T-SHIRT-COTO-M-SABLE,220,shopify,0,deny,manual,29.90,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,draft
t-shirt-coton-epais,,,,,,,,Taille,M,Couleur,Bleu ciel,,,T-SHIRT-COTO-M-BLEUCI,220,shopify,0,deny,manual,29.90,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,draft
t-shirt-coton-epais,,,,,,,,Taille,L,Couleur,Blanc,,,T-SHIRT-COTO-L-BLANC,220,shopify,0,deny,manual,29.90,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,draft
t-shirt-coton-epais,,,,,,,,Taille,L,Couleur,Noir,,,T-SHIRT-COTO-L-NOIR,220,shopify,0,deny,manual,29.90,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,draft
t-shirt-coton-epais,,,,,,,,Taille,L,Couleur,Sable,,,T-SHIRT-COTO-L-SABLE,220,shopify,0,deny,manual,29.90,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,draft
t-shirt-coton-epais,,,,,,,,Taille,L,Couleur,Bleu ciel,,,T-SHIRT-COTO-L-BLEUCI,220,shopify,0,deny,manual,29.90,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,draft
t-shirt-coton-epais,,,,,,,,Taille,XL,Couleur,Blanc,,,T-SHIRT-COTO-XL-BLANC,220,shopify,0,deny,manual,29.90,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,draft
t-shirt-coton-epais,,,,,,,,Taille,XL,Couleur,Noir,,,T-SHIRT-COTO-XL-NOIR,220,shopify,0,deny,manual,29.90,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,draft
t-shirt-coton-epais,,,,,,,,Taille,XL,Couleur,Sable,,,T-SHIRT-COTO-XL-SABLE,220,shopify,0,deny,manual,29.90,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,draft
t-shirt-coton-epais,,,,,,,,Taille,XL,Couleur,Bleu ciel,,,T-SHIRT-COTO-XL-BLEUCI,220,shopify,0,deny,manual,29.90,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,draft
t-shirt-coton-epais,,,,,,,,Taille,XXL,Couleur,Blanc,,,T-SHIRT-COTO-XXL-BLANC,220,shopify,0,deny,manual,29.90,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,draft
t-shirt-coton-epais,,,,,,,,Taille,XXL,Couleur,Noir,,,T-SHIRT-COTO-XXL-NOIR,220,shopify,0,deny,manual,29.90,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,draft
t-shirt-coton-epais,,,,,,,,Taille,XXL,Couleur,Sable,,,T-SHIRT-COTO-XXL-SABLE,220,shopify,0,deny,manual,29.90,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,draft
t-shirt-coton-epais,,,,,,,,Taille,XXL,Couleur,Bleu ciel,,,T-SHIRT-COTO-XXL-BLEUCI,220,shopify,0,deny,manual,29.90,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,draft
